Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Homefront: The Revolution,36.5,27.0,4.0,3.4,32.0,1536.0,1313.5,11.5,22.0,57.5,116.15,764,764,38.0,38.0,11
Soccer Manager 2016,66.5,180.0,1.0,2.1,77.5,192.0,562.5,9.0,2.5,2.5,29.2,132,732,3.0,3.0,9
Year Walk,35.0,180.0,1.0,2.8,97.5,320.0,550.0,9.5,1.0,2.5,6.8,132,764,1.1,1.1,9
Dragon Knights,37.0,110.0,1.0,2.9,45.0,384.0,750.0,9.55,0.0,0.0,24.0,132,764,3.0,5.0,9
The Next Door,32.5,65.0,2.0,3.2,33.5,2048.0,1200.0,11.15,12.5,29.5,76.8,132,764,1.0,1.0,9
RuneScape 3,70.0,38.5,3.0,2.85,38.5,1280.0,716.5,11.0,3.0,4.0,18.65,264,1064,8.0,8.0,10
Trine 2,30.0,55.0,2.0,2.65,65.0,256.0,675.0,9.55,1.5,1.5,14.0,132,132,1.5,1.5,9
Dark Quest 2,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,732,1064,2.0,2.0,9
Spirit of the North,36.5,27.0,6.0,3.35,27.0,2560.0,1501.5,11.6,34.0,89.5,176.1,1064,1064,4.0,4.0,11
Fallout 3: Broken Steel,66.5,130.0,1.0,1.85,65.0,256.0,790.0,9.0,3.0,3.0,50.55,132,132,2.0,2.0,9
Life After Us: Fading Light,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Court of Ashes,30.5,180.0,1.0,2.8,55.0,256.0,600.0,10.0,2.0,3.0,8.0,764,1064,2.0,2.0,10
Sokobond,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Medieval Kingdom Wars,72.0,55.0,2.0,2.6,55.0,1024.0,900.0,11.0,4.0,13.5,28.8,232,764,5.0,7.0,9
Age of Civilizations 2,69.5,33.5,2.5,2.9,38.5,2048.0,1012.5,12.0,11.5,24.5,50.4,764,764,1.0,1.0,11
Outlast 2,71.5,38.5,2.5,2.8,32.0,704.0,949.5,10.05,14.0,35.5,113.55,264,764,30.0,30.0,10
Final Approach,36.5,27.0,6.0,4.05,11.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,764,20.0,20.0,0
Ground Control Simulator,0.0,180.0,1.0,1.83,155.0,256.0,450.0,9.55,1.0,1.0,7.2,200,132,0.0,0.0,9
Salem,35.0,65.0,2.0,2.7,38.5,128.0,721.5,10.5,4.0,14.0,23.1,132,764,3.0,3.0,9
TrackMania 2: Canyon,61.0,180.0,1.0,2.75,65.0,128.0,0.0,10.0,1.0,1.0,0.0,132,132,15.0,15.0,9
NBA 2K21,36.5,32.0,3.0,3.55,27.0,1024.0,1013.5,11.05,14.5,32.5,64.85,764,764,110.0,110.0,11
Red Orchestra: Ostfront 41-45,0.0,180.0,1.0,2.2,130.0,320.0,550.0,9.5,1.0,2.5,6.8,132,0,2.0,0.0,9
DeltaOne,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Game of Thrones: Episode 2 - The Lost Lords,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,3.0,3.0,9
Inmost,30.5,55.0,2.0,2.8,55.0,512.0,900.0,11.0,4.5,14.5,57.6,732,1064,4.0,4.0,9
Nioh: Complete Edition,36.5,18.0,4.0,3.45,18.0,3072.0,1376.0,11.1,36.5,138.5,264.2,1064,0,100.0,100.0,11
Total War: Rome II - Caesar in Gaul,66.0,65.0,2.0,2.95,38.5,384.0,750.0,10.05,3.0,7.0,17.6,132,764,35.0,35.0,9
BioShockâ„¢ 2 Remastered,66.5,65.0,2.0,3.1,45.0,2048.0,1313.5,11.1,23.5,75.0,132.15,764,764,25.0,25.0,11
The Purring Quest,67.5,67.5,2.0,2.35,48.5,320.0,550.0,9.5,1.0,2.5,6.8,732,764,3.0,3.0,9
Afterparty,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
Agatha Christie - Hercule Poirot: The First Cases,45.0,65.0,1.0,3.4,59.0,1792.0,1251.0,11.55,33.5,69.0,192.2,764,764,10.0,10.0,10
Kingdom Hearts Melody of Memory,68.0,27.0,3.0,3.3,27.0,1536.0,1437.5,11.6,17.5,48.5,92.0,864,864,15.0,15.0,0
Crossroads Inn,36.5,32.0,3.0,3.5,32.0,1024.0,1012.5,11.0,22.5,40.5,113.2,764,1064,6.0,6.0,11
Wild West and Wizards,70.0,38.5,3.0,2.85,38.5,1024.0,1025.5,11.0,27.5,47.5,131.25,764,1064,4.0,4.0,11
Retimed,70.5,55.0,2.0,2.4,55.0,768.0,950.0,10.5,17.5,35.5,92.8,732,1064,0.0,0.0,11
Dark And Light,36.5,32.0,6.0,3.5,18.0,2048.0,1438.5,11.05,26.5,83.5,160.1,764,764,50.0,50.0,10
Stealthy Ninja,71.0,55.0,2.0,2.5,55.0,256.0,533.5,10.05,1.5,2.5,17.05,132,1064,0.0,0.0,9
Shogun 2: Total War - Fall of the Samurai: Sendai Faction Pack,37.0,130.0,1.0,3.165,45.0,256.0,325.0,9.5,2.0,2.0,8.4,132,764,0.0,0.0,9
Arons Adventure,50.0,32.0,5.0,3.5,13.0,1536.0,1437.5,11.6,17.5,48.5,92.0,1064,1064,15.0,15.0,11
Ni No Kuni 3,52.5,27.0,5.0,3.7,27.0,2048.0,1300.0,11.6,16.5,49.5,83.2,764,1064,40.0,40.0,11
Watching Grass Grow In VR - The Game,36.5,27.0,6.0,4.05,11.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,764,0.0,0.0,11
Call of Duty 4: Modern Warfare Remastered,36.0,38.5,3.0,2.83,45.0,1536.0,950.0,11.05,20.5,37.0,88.0,764,1064,55.0,55.0,11
Dragon Age: Origins - Return To Ostagar,30.0,65.0,2.0,2.6,55.0,256.0,790.0,9.0,0.0,0.0,42.55,132,132,1.0,1.0,9
Path of Exile: Atlas of Worlds,30.0,90.0,1.0,2.5,77.5,192.0,712.5,9.55,1.5,1.5,15.2,132,132,8.0,8.0,9
Virginia,36.5,29.5,3.0,3.15,32.0,1024.0,1200.0,11.15,12.5,29.5,76.8,732,1064,5.0,5.0,11
Bunny Park,36.5,32.0,5.0,3.15,32.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,0.0,0.0,11
Factorio,66.5,55.0,2.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
The Wolf Among Us,36.5,155.0,1.0,2.5,65.0,256.0,600.0,10.55,2.0,2.5,16.0,132,132,2.0,2.0,9
Esper 2,50.0,27.0,6.0,3.85,23.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,764,0.0,0.0,0
The Elder Scrolls V: Hearthfire,66.5,65.0,2.0,2.83,45.0,768.0,737.5,10.05,9.0,21.0,70.4,132,764,1.0,1.0,9
Fears to Fathom - Home Alone,36.5,38.5,3.0,3.75,27.0,2560.0,1514.0,11.6,34.0,87.5,184.9,764,1064,4.0,4.0,11
Plants vs Zombies: Battle for Neighborville,68.5,27.0,3.0,3.35,27.0,2048.0,895.5,11.05,10.0,24.0,28.65,1064,1064,15.0,15.0,11
The Academy: The First Riddle,70.0,55.0,2.0,2.85,38.5,2048.0,1351.0,11.1,28.0,95.0,148.89999999999998,1064,1064,4.0,4.0,9
Boris The Rocket,33.5,38.5,3.0,3.45,27.0,1664.0,1075.0,11.05,30.5,62.0,152.8,764,1064,4.0,4.0,11
Project CARS 3,0.0,27.0,6.0,3.7,13.0,2560.0,1438.5,11.1,32.0,126.5,228.15,764,1064,50.0,50.0,11
Aery VR,36.5,27.0,6.0,3.55,18.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,1064,1.0,2.0,11
Train Simulator 2013,36.0,55.0,2.0,3.165,45.0,768.0,750.0,10.5,6.5,9.5,35.2,132,732,6.0,6.0,9
99 Levels To Hell,37.0,65.0,2.0,3.23,45.0,128.0,255.0,10.05,4.0,14.0,8.15,132,764,1.5,2.0,9
Sniper Elite 3 - Target Hitler: Hunt the Grey Wolf,35.5,90.0,2.0,2.98,45.0,512.0,963.0,10.55,7.5,12.5,61.65,232,764,18.0,18.0,11
Dawn of Man,69.5,33.5,2.5,2.9,38.5,2048.0,1012.5,12.0,11.5,24.5,50.4,764,764,2.0,2.0,11
Hatoful Boyfriend: Holiday Star,36.5,155.0,1.0,2.5,65.0,320.0,500.0,9.55,1.0,1.0,8.0,132,132,2.0,2.0,9
Star Wars: Battlefront - Rogue One: Scarif,50.0,23.0,3.0,3.7,23.0,2048.0,1351.0,11.1,26.5,69.0,148.89999999999998,764,1064,40.0,40.0,11
Dyad,72.0,38.5,2.5,3.03,38.5,768.0,650.0,10.55,4.0,15.0,20.8,132,732,1.337,1.337,9
Rogue Glitch,67.0,43.5,3.0,2.9000000000000004,48.5,512.0,850.0,11.0,4.0,8.0,20.0,164,764,1.0,1.0,9
Endless Legend - Symbiosis,36.5,55.0,3.5,3.5,32.0,1024.0,950.0,11.5,23.5,37.5,121.6,264,764,4.0,4.0,9
Retaliation: Enemy Mine,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Builders Of Egypt,36.5,38.5,3.0,3.5,27.0,2560.0,1563.5,11.55,32.5,128.5,244.15,764,1064,20.0,20.0,11
Brawl Busters,66.5,155.0,1.0,1.85,65.0,128.0,375.0,9.0,0.0,0.0,6.0,132,132,2.0,3.0,9
Grimm Ep 15 - The Pied Piper,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Dead Alliance,69.5,33.5,2.5,2.9,38.5,1536.0,1375.0,11.6,17.0,42.5,88.0,764,764,15.0,15.0,11
Drift21,36.5,27.0,6.0,3.35,27.0,4096.0,1751.5,12.0,53.5,152.5,224.2,764,1064,20.0,20.0,11
Train Simulator 2012: Class 77 and 76 Add-On,36.0,130.0,1.0,1.85,65.0,256.0,400.0,10.5,3.5,4.5,9.6,132,132,0.0,0.0,9
Dead by Daylight,36.5,27.0,5.0,3.15,27.0,1024.0,950.0,11.5,23.5,37.5,121.6,764,764,15.0,0.0,11
Test Drive Unlimited 2,36.5,65.0,2.0,2.75,65.0,768.0,550.0,10.05,7.5,16.5,28.8,132,132,14.0,14.0,9
Battlefield 2142,32.5,155.0,1.0,2.6,90.0,192.0,260.0,9.0,0.0,0.0,4.15,132,132,2.0,4.0,9
Outbreak Pandemic Evolution,36.5,38.5,3.0,3.7,32.0,1536.0,1375.0,11.2,16.5,41.5,88.0,764,764,15.0,0.0,11
Blood Bowl: Chaos Edition,66.5,130.0,1.0,1.88,65.0,128.0,200.0,10.05,2.0,2.0,6.4,132,132,3.0,3.0,9
New World,36.5,32.0,4.0,3.45,23.0,2560.0,1376.0,11.1,30.5,107.0,216.15,1064,1064,35.0,35.0,12
Dead Rising Remastered,36.5,65.0,2.0,3.55,27.0,1024.0,1112.5,11.0,18.0,31.5,87.6,732,764,30.0,30.0,11
Quake II RTX,36.5,27.0,6.0,3.6,17.0,7168.0,1750.0,12.05,95.5,225.0,392.0,764,1064,2.0,2.0,0
Code Vein,50.0,32.0,6.0,3.25,14.0,2048.0,1351.0,11.1,30.5,77.0,172.95,764,1064,50.0,50.0,11
Wrest,36.5,27.0,6.0,3.65,27.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,1064,10.0,10.0,11
Propagation VR,36.5,32.0,5.0,3.55,18.0,7168.0,2001.0,12.05,61.5,159.5,224.1,1064,1064,5.0,5.0,11
Doctor Who: The Eternity Clock,0.0,77.5,2.0,2.6,45.0,768.0,890.0,10.55,20.0,27.5,102.55,132,164,1.7,1.7,9
Guns of Icarus,0.0,155.0,1.0,1.73,155.0,256.0,412.5,9.5,1.0,2.5,13.2,132,732,3.0,3.0,9
Arcane Worlds,66.5,110.0,1.0,2.1,77.5,160.0,262.5,9.0,0.0,0.0,3.2,132,232,0.0,0.0,9
Dovetail Games Flight School,72.0,38.5,2.0,2.85,38.5,768.0,715.5,11.0,2.5,4.5,11.45,764,764,40.0,40.0,11
Batman: Arkham Knight - Red Hood Story Pack,52.5,45.0,4.0,3.7,27.0,2560.0,1376.0,11.1,25.5,86.5,192.1,764,864,45.0,55.0,11
Terrorist Takedown: Covert Operations,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,2.0,2.0,9
Aion: Ascension,72.0,130.0,1.0,3.015,45.0,256.0,740.0,9.0,3.0,3.0,78.7,132,132,40.0,40.0,9
Warhammer 40000: Regicide,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,2.0,2.0,9
Insanitys Blade,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Dishonored: Dunwall City Trials,70.5,65.0,2.0,2.35,65.0,512.0,595.0,10.1,3.0,6.5,9.5,164,764,1.0,1.0,10
Dual Universe,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Alba: A Wildlife Adventure,50.0,32.0,5.0,3.4,14.0,1024.0,445.5,11.5,8.5,27.5,14.25,764,1064,2.0,2.0,11
Stacking,72.5,77.5,2.0,2.2,77.5,320.0,815.0,10.05,9.0,18.5,45.75,132,732,1.5,1.5,9
Lego: Batman 2 - DC Super Heroes,66.0,155.0,1.0,2.13,77.5,256.0,200.0,10.55,1.5,2.0,3.2,132,132,4.0,4.0,9
Bloodstained: Ritual of the Night,36.5,27.0,4.0,3.4,27.0,2560.0,1501.0,11.15,32.5,113.5,240.15,764,764,10.0,10.0,11
BloodRayne 2,0.0,180.0,1.0,1.83,155.0,96.0,375.0,7.55,0.0,0.0,6.0,98,132,0.0,4.5,8
Electro Ride: The Neon Racing,36.0,38.5,3.0,3.85,27.0,512.0,600.0,10.05,4.5,14.0,19.200000000000003,764,1064,5.0,5.0,11
The Dwarves,52.5,45.0,4.0,3.7,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,25.0,25.0,0
Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Angvik,37.0,65.0,2.0,3.23,45.0,128.0,255.0,10.05,4.0,14.0,8.15,132,764,0.0,0.0,8
The Culling 2,33.5,27.0,6.0,3.9,27.0,1024.0,1125.0,11.1,20.0,43.5,104.0,764,764,8.0,8.0,11
A Fistful of Gun,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,10.0,10.0,9
Exodus Wars: Fractured Empire,37.0,65.0,2.0,3.23,45.0,128.0,255.0,10.05,4.0,14.0,8.15,132,764,5.0,5.0,9
Disintegration,0.0,23.0,4.0,3.55,10.5,1664.0,1075.0,11.05,28.5,49.5,152.8,1064,1064,15.0,15.0,11
The Town Of Light,69.5,33.5,2.5,2.9,38.5,1024.0,1050.0,11.5,18.0,36.0,96.0,764,764,10.0,10.0,11
Metro: Exodus - Sam's Story,36.5,27.0,6.0,3.5,18.0,2048.0,1476.0,11.6,39.5,69.0,132.85,764,1064,50.0,50.0,11
Lost Soul Aside,66.0,45.0,2.5,2.6,33.5,1408.0,1029.0,10.5,21.0,33.5,123.65,764,764,30.0,30.0,11
Half-Life 2: Episode 2,0.0,180.0,1.0,2.5835,110.0,128.0,200.0,10.0,2.0,3.0,3.2,132,132,1.5,1.5,9
Haunted House 2015,71.0,65.0,2.0,2.58,45.0,640.0,915.5,10.55,18.5,28.0,90.6,132,764,8.0,8.0,9
Railway Empire,69.5,45.0,4.0,3.05,32.0,1536.0,1101.0,11.0,26.0,56.0,140.95,764,1064,7.0,7.0,11
Skyhill: Black Mist,70.0,45.0,2.0,2.85,38.5,384.0,865.0,10.05,10.5,16.0,55.35,764,1064,4.0,4.0,11
Broomstick League,33.5,55.0,2.5,3.45,27.0,1024.0,1187.5,11.1,16.5,37.0,76.0,764,1064,5.0,5.0,10
Command & Conquer: Generals,0.0,180.0,1.0,1.665,180.0,0.0,0.0,9.0,0.0,0.0,0.0,98,132,2.0,2.0,9
In Other Waters,70.0,55.0,2.0,2.85,38.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,732,1064,0.0,0.0,10
Tom Clancy: Ghost Recon Future Soldier: Raven Strike,66.5,77.5,2.0,2.83,45.0,768.0,650.0,10.55,4.0,12.5,13.6,132,764,25.0,25.0,9
The Guild 3,69.5,65.0,2.0,2.9,38.5,1664.0,918.5,11.0,23.5,43.0,130.95,732,764,5.0,4.0,11
Unholy Heights,0.0,90.0,1.0,1.665,155.0,64.0,100.0,9.0,0.0,0.0,1.6,132,132,0.0,0.0,9
Civilization: Beyond Earth,30.5,77.5,2.0,1.965,65.0,1152.0,850.0,10.55,3.0,4.5,27.200000000000003,232,764,8.0,8.0,11
Half Life 2 Deathmatch,0.0,155.0,1.0,2.075,130.0,32.0,166.5,3.5,0.0,0.0,1.35,132,132,1.0,1.0,9
Elite Dangerous: Horizons,52.5,65.0,4.0,3.85,27.0,704.0,949.5,10.05,14.0,33.5,113.55,764,764,7.0,7.0,11
Rainbow Six: Parasite,67.0,38.5,3.0,3.2,32.0,1024.0,1050.0,11.5,18.0,36.0,96.0,764,764,50.0,50.0,11
Mount and Blade: Warband,0.0,155.0,1.0,2.9,77.5,128.0,400.0,9.0,0.0,0.0,6.4,132,132,1.0,1.0,9
Sniper Elite: Nazi Zombie Army,36.0,90.0,1.0,2.6,90.0,512.0,450.0,10.05,4.5,13.5,14.4,232,764,5.0,5.0,9
SCP: Blackout,36.5,27.0,6.0,3.65,27.0,4096.0,1501.5,11.6,63.5,137.5,272.2,732,1064,12.0,14.0,11
Kitaria Fables,36.5,32.0,6.0,3.4000000000000004,18.0,1024.0,1037.5,11.0,17.5,31.5,116.4,764,764,4.0,4.0,11
DOTA Underlords,32.5,38.5,3.0,3.35,27.0,1536.0,950.0,12.0,7.0,17.0,15.2,732,764,7.0,7.0,11
8Doors: Arums Afterlife Adventure,67.0,43.5,3.0,2.9000000000000004,48.5,1024.0,1250.5,11.05,21.0,50.5,112.05,764,1064,8.0,8.0,10
Farming Simulator 2013,66.5,130.0,1.0,1.95,65.0,128.0,200.0,10.5,2.0,4.0,6.4,132,132,2.0,2.0,9
Gigantic Army,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Sims 3: Barnacle Bay,66.5,155.0,1.0,2.05,65.0,192.0,137.5,9.0,0.0,0.0,4.4,132,132,0.0,0.0,9
Friday The 13th: The Video Game,68.5,38.5,2.0,3.55,25.0,1024.0,1237.5,11.1,15.5,49.5,79.2,764,764,4.0,4.0,11
Super Audio Spectrum,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Tera-Online,33.5,32.0,3.0,3.65,27.0,512.0,1013.0,10.05,11.0,23.0,64.85,732,164,42.0,42.0,9
Police Simulator: Patrol Duty,36.5,18.0,4.0,3.55,18.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,8.0,8.0,11
Hypercharge: Unboxed,36.5,38.5,4.0,3.3,18.0,1536.0,945.5,11.0,10.0,24.0,46.25,764,1064,13.0,15.0,11
DISTRAINT,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,232,764,0.0,0.0,9
Steel Division: Normandy 44 - Back to Hell,67.0,32.0,3.0,2.95,32.0,1024.0,800.0,11.0,9.0,16.0,25.6,764,1064,32.0,32.0,11
Anno 2205,69.5,45.0,4.0,3.05,32.0,1024.0,1101.0,11.0,26.0,56.0,140.95,764,764,35.0,35.0,11
Flatout 4: Total Insanity,67.0,33.5,2.0,3.3,27.0,1024.0,1187.5,11.1,15.0,30.0,76.0,732,1064,10.0,10.0,11
Vedelem: The Golden Horde,36.5,27.0,6.0,3.75,27.0,1024.0,1751.0,12.05,33.0,62.5,56.05,764,1064,40.0,40.0,11
Harold,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Gun,0.0,180.0,1.0,2.1165,130.0,128.0,166.5,9.0,0.0,0.0,2.65,132,132,2.8,2.8,9
Waltz of the Wizard,71.0,27.0,6.0,3.05,27.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,1064,2.0,5.0,11
Tales of Vesperia: Definitive Edition,35.5,38.5,5.0,3.05,18.0,2560.0,1376.0,11.1,25.5,86.5,192.1,764,1064,25.0,25.0,11
Prison Simulator,36.5,38.5,3.0,3.75,27.0,1536.0,1313.0,11.5,22.0,53.5,116.05,764,1064,4.0,4.0,11
Deadly Days,30.5,155.0,1.0,2.8,55.0,768.0,950.0,11.05,5.0,11.0,39.2,232,1064,1.0,1.0,10
Killer is Dead,36.5,130.0,1.0,3.3,32.0,128.0,200.0,10.0,2.0,3.0,3.2,132,764,13.0,13.0,10
Crush Crush,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
Rockefeller - The Black Gold,66.5,90.0,1.0,1.85,65.0,384.0,750.0,9.5,2.0,4.0,40.0,232,132,3.0,3.0,10
Yu-Gi-Oh! Online: Duel Evolution,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,2.0,2.0,9
Yelaxot,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Creeper World 3: Arc Eternal,66.5,155.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,232,1.5,1.0,9
Subsistence,69.5,65.0,2.0,2.9,38.5,768.0,450.0,11.05,11.0,19.0,57.6,732,764,1.5,1.5,9
Classified Stories: The Tome of Myrkah,33.5,48.5,3.0,3.35,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,8.0,8.0,11
Party of Sin,72.0,65.0,2.0,3.115,45.0,128.0,721.5,10.5,4.0,14.0,23.1,132,764,0.0,0.0,9
Pandora: First Contact,71.5,65.0,2.0,2.5650000000000004,48.5,128.0,372.5,9.0,0.0,0.0,9.75,132,764,1.0,2.0,9
The Hat Man: Shadow Ward,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
XCOM: Enemy Within,71.0,65.0,2.0,2.5,55.0,384.0,600.0,10.0,3.0,7.0,19.2,232,764,20.0,20.0,9
Risk: Factions,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Nascar Racing Season 2003,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Saviors,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Among The Sleep,70.5,65.0,2.0,2.45,45.0,128.0,683.5,10.05,3.5,6.0,21.85,132,764,2.0,2.0,9
