Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
The Endless Mission,36.5,32.0,5.0,3.35,18.0,2560.0,1376.0,11.1,27.5,93.5,192.1,764,1064,15.0,15.0,11
Vast,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
The Council - Episode 5: Checkmate,52.5,32.0,5.0,3.75,27.0,1536.0,1375.0,11.6,17.0,42.5,88.0,764,1064,15.0,15.0,11
Final Fantasy XIV: Endwalker,36.5,38.5,4.0,3.75,32.0,1536.0,1437.5,11.6,17.5,48.5,92.0,864,864,80.0,80.0,11
YesterMorrow,70.5,55.0,2.0,2.4,55.0,768.0,899.0,11.05,3.0,6.0,21.6,732,1064,2.0,2.0,9
Besiege,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,132,764,1.0,10.0,9
DMC: Devil May Cry,71.0,65.0,2.0,2.5,55.0,288.0,811.0,10.05,10.5,11.5,58.25,132,764,9.0,9.0,9
Risk: Global Domination,30.5,55.0,2.0,2.8,55.0,256.0,583.5,10.05,2.5,4.0,12.65,232,1064,0.0,0.0,10
Tropico 5 - Generalissimo,71.0,65.0,2.0,2.35,38.5,1024.0,850.0,11.05,1.5,1.5,27.200000000000003,232,764,4.0,4.0,11
The Dark Pictures: The Devil in Me,0.0,27.0,6.0,3.0,14.0,2048.0,1564.0,12.05,34.5,92.0,144.1,1064,1064,65.0,65.0,11
Stupid Llama,66.5,180.0,1.0,1.98,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Fantasy General II,34.5,38.5,2.0,3.0,32.0,1024.0,1751.0,12.05,33.0,62.5,56.05,764,1064,2.2,2.2,11
World of Warcraft: Shadowlands,0.0,27.0,6.0,3.85,13.0,2048.0,1626.0,11.55,26.5,90.5,152.15,764,1064,100.0,100.0,11
Black Survival: Eternal Return,36.5,55.0,2.0,3.7,32.0,512.0,900.0,10.05,9.5,26.0,57.6,764,1064,5.0,5.0,9
Life is Strange Remastered,33.5,38.5,3.0,3.6,27.0,2048.0,1187.5,11.1,16.5,37.0,76.0,764,1064,14.0,14.0,11
Blackmoor Bay,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
BoneCraft - Somewhere In Some Galaxy,66.5,77.5,2.0,1.85,65.0,384.0,750.0,9.0,0.0,0.0,24.0,132,132,3.0,3.0,9
The Cycle: Frontier,50.0,18.0,4.0,3.4,14.0,2048.0,1451.0,11.15,31.5,86.5,185.75,1064,1064,37.0,37.0,11
Forza Horizon 3,33.5,27.0,6.0,4.15,16.0,2048.0,1376.0,11.55,24.5,77.5,136.15,1064,1064,55.0,55.0,12
Dragon Marked For Death,30.5,180.0,1.0,2.8,55.0,384.0,865.0,10.05,9.5,21.0,48.150000000000006,732,1064,1.0,1.0,9
Steep,52.5,32.0,5.0,3.75,27.0,2048.0,1376.0,11.55,20.5,69.5,112.1,764,764,25.0,25.0,11
Barbarian Brawl,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Madden NFL 22,64.0,21.0,3.0,3.45,27.0,1024.0,1626.0,11.55,25.0,88.5,96.15,1064,1064,50.0,50.0,11
Rise of the Tomb Raider,52.5,32.0,3.0,3.55,18.0,2048.0,1187.5,11.1,16.5,37.0,76.0,764,764,25.0,25.0,11
Dead by Daylight - The Bloodstained Sack,36.5,27.0,5.0,3.15,27.0,1024.0,950.0,11.5,23.5,37.5,121.6,764,764,15.0,0.0,11
Swords n Magic and Stuff,36.5,38.5,3.0,3.45,23.0,1664.0,1075.0,11.05,28.5,49.5,152.8,764,1064,2.0,4.0,11
Re:Turn - One Way Trip,70.0,55.0,2.0,2.85,38.5,256.0,600.0,10.0,2.0,3.0,8.0,164,1064,2.0,2.0,7
Grave Prosperity: Redux,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Eador: Masters Of The Broken World,30.5,155.0,1.0,1.9835,97.5,192.0,266.5,8.55,0.0,0.0,4.25,132,732,2.0,2.0,9
1666 Amsterdam,52.5,32.0,5.0,3.7,27.0,2048.0,1451.0,11.15,27.5,78.5,161.7,764,764,50.0,50.0,11
Ridge Racer Unbounded,0.0,77.5,2.0,2.565,55.0,512.0,1013.0,10.05,11.0,23.0,64.85,132,132,3.0,3.0,9
Faster Than Light,35.5,155.0,1.0,2.2,77.5,256.0,250.0,10.0,2.5,4.0,4.0,132,132,0.0,0.0,9
Doom Eternal,0.0,23.0,4.0,3.5,14.0,3584.0,1501.0,11.6,37.5,85.5,176.05,764,1064,50.0,50.0,11
Borderlands 2,0.0,77.5,2.0,2.565,55.0,256.0,550.0,10.0,2.5,5.0,17.6,132,764,13.0,20.0,9
Brick-Force,35.0,180.0,1.0,2.6,110.0,384.0,350.0,9.5,1.0,2.5,5.6,132,132,2.0,2.0,9
Call of Duty - Black Ops: Escalation,35.0,65.0,2.0,3.115,45.0,384.0,550.0,10.05,4.5,14.0,17.6,132,132,1.5,1.5,9
International Cue Club,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Lego Jurassic World,67.5,77.5,2.0,3.08,45.0,384.0,545.0,9.0,0.0,0.0,28.5,132,764,10.0,10.0,10
Rogue Heist,0.0,27.0,6.0,3.35,14.0,2048.0,1351.0,11.1,26.5,69.0,148.89999999999998,764,1064,7.0,7.0,11
Industry Manager Future Simulator,69.5,33.5,2.5,2.9,38.5,1536.0,1075.0,11.15,6.0,14.5,34.4,132,764,5.0,5.0,9
Age Of Wushu,66.5,155.0,1.0,2.03,77.5,192.0,550.0,9.0,0.0,0.0,12.8,132,132,10.0,10.0,9
Nix,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Thug III,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Tormentum: Dark Sorrow,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Achtung Panzer: Operation Star - Sokolovo 1943,36.0,155.0,1.0,2.6,90.0,128.0,372.5,9.0,0.0,0.0,9.75,132,132,1.0,1.0,9
Children of the Nile: Alexandria,0.0,180.0,1.0,1.9165,130.0,192.0,137.5,9.0,0.0,0.0,4.4,200,732,1.0,1.0,9
Master Arena,36.5,38.5,3.0,3.75,18.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,30.0,30.0,9
Trepidation,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Daylight,31.0,77.5,2.0,3.1500000000000004,55.0,768.0,850.0,11.0,3.0,5.5,13.6,764,764,5.0,5.0,11
Galaxy in Turmoil,36.5,38.5,3.0,3.15,27.0,1536.0,1076.0,11.0,6.5,15.0,34.45,764,764,3.0,3.0,11
Meet Your Maker,36.5,14.0,4.0,3.45,18.0,2048.0,1576.5,11.65,36.0,79.5,145.7,1064,1064,20.0,20.0,11
Dynasty Warriors 9,52.5,32.0,5.0,3.45,18.0,2048.0,1451.0,11.55,28.0,72.5,161.7,764,1064,50.0,50.0,11
Deadly Premonition 2: A Blessing in Disguise,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
Lucius 2 : The Prophecy,67.5,65.0,2.0,3.08,45.0,960.0,1054.5,10.05,16.0,42.5,125.9,164,764,5.0,5.0,9
Schar: Blue Shield,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Cold Fear,0.0,180.0,1.0,2.0,130.0,64.0,390.0,8.1,0.0,0.0,6.25,200,132,3.0,3.0,9
Craftlands Workshoppe,70.0,38.5,3.0,2.85,38.5,1024.0,1187.5,11.1,16.5,37.0,76.0,1064,1064,1.0,1.0,11
Kingdom,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,832,0.0,0.0,9
Shogun 2: Total War - Fall of the Samurai,67.5,130.0,1.0,2.55,38.5,256.0,325.0,9.5,2.0,2.0,8.4,132,132,22.0,32.0,9
Jalopy,69.5,33.5,2.5,2.9,38.5,1536.0,1075.0,11.15,6.0,14.5,34.4,732,764,1.0,1.0,9
Eron,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Borderlands 2: Mechromancer,0.0,77.5,2.0,2.565,55.0,256.0,550.0,10.0,2.5,5.0,17.6,132,764,2.0,2.0,9
Starship EVO,0.0,23.0,6.0,3.7,14.0,1536.0,1325.0,11.2,25.5,59.5,129.6,1064,1064,4.0,4.0,11
Dungeons and Dragons RPG,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
State Of Decay 2,36.5,32.0,5.0,3.6,27.0,2048.0,1351.0,11.1,32.5,89.5,172.95,1064,1064,16.0,16.0,11
Block Multiplayer: RPG,36.5,14.0,4.0,3.55,18.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,264,1064,3.0,3.0,10
Angry Video Game Nerd Adventures,66.5,180.0,1.0,1.95,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Atomicrops,35.0,30.0,3.0,2.45,33.5,1024.0,1037.5,11.0,17.5,31.5,116.4,764,1064,1.0,1.0,11
Batman: Arkham Origins - Cold Cold Heart,67.5,65.0,2.0,3.03,45.0,640.0,915.5,10.55,18.5,28.0,90.6,232,764,15.0,15.0,10
Farm Manager 2021,36.5,32.0,6.0,3.7,32.0,4096.0,1826.0,12.05,46.0,123.5,169.64999999999998,764,1064,8.0,8.0,11
Sleeping Dogs,35.0,65.0,2.0,2.215,65.0,768.0,900.5,11.0,14.5,25.0,76.85,232,764,15.0,15.0,10
I Expect You To Die 2,36.5,18.0,4.0,3.4,18.0,7168.0,2001.0,12.05,61.5,159.5,224.1,1064,1064,10.0,10.0,11
Penny Arcade - Precipice of Darkness episode three,32.5,180.0,1.0,2.8,110.0,128.0,200.0,10.0,2.0,3.0,3.2,132,132,0.0,0.0,9
Six Oclock High,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Fatal Frame: Maiden of Black Water,36.5,45.0,4.0,3.75,32.0,2048.0,1626.0,11.55,22.0,75.0,72.1,864,864,25.0,25.0,11
UFO2 Extraterrestrials: Battle for Mercury,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Crash Time: Autobahn Pursuit,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,3.0,3.0,9
Bierzerkers,32.5,77.5,2.0,3.2,33.5,1024.0,950.0,11.05,5.0,11.0,39.2,732,764,6.0,6.0,9
ITTA,70.5,55.0,2.0,2.53,45.0,512.0,1050.0,10.5,12.0,27.5,67.2,732,1064,0.0,0.0,10
Age of Empires II HD: Rise of the Rajas,36.0,180.0,1.0,1.75,65.0,256.0,262.5,9.0,0.0,0.0,6.4,132,232,2.0,2.0,9
Star Wars: The Old Republic - Rise of the Hutt Cartel,36.5,90.0,1.0,2.9665,38.5,256.0,200.0,10.55,1.5,2.0,3.2,132,132,1.0,1.0,9
The Starving Tournament,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
XCOM: Enemy Unknown Slingshot,61.0,65.0,2.0,2.75,65.0,384.0,600.0,10.0,3.0,7.0,19.2,232,764,20.0,20.0,9
Encased: A Sci-Fi Post-Apocalyptic RPG,36.5,27.0,6.0,3.45,18.0,1536.0,945.5,11.0,10.0,24.0,46.25,764,1064,6.0,6.0,11
NANOS,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Dakar 18,36.5,32.0,5.0,3.35,18.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,40.0,40.0,11
The Walking Dead: Episode 3 The Long Road Ahead,36.5,155.0,1.0,2.5,65.0,256.0,600.0,10.55,2.0,2.5,16.0,132,132,2.0,2.0,9
Hired Ops,67.0,65.0,2.5,3.2,32.0,768.0,950.0,11.05,5.0,11.0,39.2,164,764,8.0,8.0,9
VTOL VR,0.0,27.0,6.0,3.5,14.0,6144.0,1626.5,12.0,65.0,141.5,304.2,764,1064,1.0,1.0,11
Bear With Me - Episode Three,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.2,1.2,9
Magician and Looters,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Cliffs of War: Fortress Defenders,0.0,155.0,1.0,2.565,155.0,256.0,450.0,10.0,2.0,4.5,14.4,132,132,0.0,0.0,9
Madden NFL 23,64.0,21.0,3.0,3.35,27.0,1024.0,1626.0,11.55,22.0,75.0,72.1,1064,1064,50.0,50.0,11
Resident Evil 7,52.5,27.0,5.0,4.05,11.0,2048.0,1376.0,11.55,24.5,77.5,136.15,764,764,50.0,50.0,11
Ben and Ed,32.5,48.5,4.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,732,764,5.0,5.0,10
Shaun the Sheep 2 : Home Sheep Home,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Beneath the Crimson Moon,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
A Story About My Uncle,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Endless Sky,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,0
The House of Da Vinci 2,34.5,55.0,2.0,3.25,27.0,768.0,899.0,11.05,3.0,6.0,21.6,764,1064,7.0,7.0,9
Our Darker Purpose,66.5,180.0,1.0,2.1,77.5,256.0,630.0,9.0,3.5,5.5,40.3,132,132,0.0,0.0,10
Taur,67.0,32.0,3.0,3.45,32.0,1280.0,826.0,10.55,12.0,23.5,76.85,764,1064,3.0,3.0,10
Guts and Glory,73.0,97.5,1.5,3.2,38.5,2048.0,1008.0,11.1,10.0,22.5,50.25,732,764,3.0,10.0,9
Demolish and Build Company 2017,36.5,38.5,2.5,3.3,32.0,1024.0,1025.5,11.0,27.5,47.5,131.25,764,764,15.0,15.0,11
Samorost 3,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
The Darkness 2,70.5,77.5,2.0,2.35,65.0,1024.0,699.0,10.55,2.0,4.5,11.2,132,132,8.0,10.0,9
Dragon Nest,66.5,155.0,1.0,1.85,65.0,192.0,175.0,9.5,1.0,1.0,2.8,132,132,3.0,4.0,9
Erzurum,36.5,32.0,5.0,3.5,18.0,3584.0,1376.0,11.15,52.0,162.5,304.2,764,1064,6.0,6.0,11
AVICII Invector,30.5,135.0,1.0,2.8,55.0,1536.0,650.0,11.0,3.0,4.0,17.6,232,1064,2.5,2.5,11
Risen,36.0,110.0,1.0,1.8,77.5,256.0,400.0,10.5,3.5,4.5,9.6,132,0,2.5,2.5,9
Sims 3: Hidden Springs,66.5,155.0,1.0,2.05,65.0,192.0,137.5,9.0,0.0,0.0,4.4,132,132,1.0,1.0,9
Duke Nukem 3D: 20th Anniversary World Tour,67.0,65.0,2.0,2.715,48.5,384.0,750.0,10.05,5.0,16.5,24.0,764,764,1.2,1.2,11
QRTH-PHYL,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
theHunter: Call of the Wild,36.5,32.0,6.0,3.75,32.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,1064,20.0,20.0,11
Chainsaw Warrior: Lords of the Night,66.5,180.0,1.0,2.1,77.5,64.0,237.5,9.55,1.5,1.5,7.6,132,764,0.0,0.0,9
Doom 4,52.5,32.0,6.0,3.7,27.0,2048.0,1351.0,11.1,31.5,95.0,172.95,764,764,55.0,55.0,11
The Waylanders,0.0,14.0,6.0,3.4,14.0,7168.0,2001.0,12.05,61.5,159.5,224.1,764,1064,40.0,40.0,11
HTC Vive,36.5,27.0,5.0,3.65,27.0,3584.0,1376.0,11.05,48.0,166.0,304.2,764,764,0.0,0.0,11
Danganronpa: Trigger Happy Havoc,33.5,45.0,2.5,3.25,27.0,1024.0,975.0,10.6,5.5,16.0,31.2,732,764,5.0,6.0,9
Divinity 2: Flames Of Vengence,0.0,65.0,2.0,2.85,67.5,256.0,840.0,9.0,0.0,0.0,42.55,132,132,2.0,2.0,9
Garrys Mod VR,36.5,38.5,3.0,3.95,27.0,1536.0,1425.0,11.15,15.5,53.5,91.2,264,764,20.0,20.0,11
Tom Clancy: Ghost Recon Online,37.0,77.5,1.0,2.765,55.0,512.0,650.0,10.5,3.5,6.5,14.4,132,132,5.0,5.0,9
Babel Rising,66.0,90.0,2.0,2.4,77.5,256.0,550.0,9.5,1.5,3.0,17.6,132,132,0.0,0.0,9
Combat Extreme 2.0,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Overwatch,71.5,38.5,2.5,2.93,38.5,768.0,946.5,11.05,16.0,31.5,89.4,764,764,5.0,5.0,11
Deformers,71.0,65.0,2.0,2.25,48.5,320.0,800.0,10.0,7.0,16.5,44.8,132,732,2.0,2.0,9
Highborn,36.0,130.0,1.0,3.2,45.0,320.0,651.5,9.5,6.0,6.0,60.6,132,264,3.0,3.0,9
The Trench,66.5,155.0,1.0,2.05,65.0,384.0,750.0,9.5,1.5,3.0,36.8,132,732,8.0,8.0,9
Final Upgrade,33.5,27.0,5.0,3.65,27.0,2560.0,1626.0,11.6,33.5,133.5,256.15,1064,0,5.0,5.0,11
Neverwinter Nights 2: Mask of the betrayer,0.0,155.0,1.0,2.5835,110.0,128.0,200.0,9.0,0.0,0.0,3.2,132,132,5.5,5.5,9
Project CARS,34.5,45.0,4.0,3.55,27.0,960.0,1099.5,10.5,15.0,35.5,94.35,764,864,7.0,7.0,9
The Witcher III: Wild Hunt - Hearts of Stone,52.5,38.5,4.0,3.7,27.0,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,764,764,40.0,40.0,11
Northern Shadow,37.0,65.0,2.0,3.23,45.0,128.0,255.0,10.05,4.0,14.0,8.15,132,764,5.0,5.0,9
Astroneer,36.5,38.5,3.0,3.95,27.0,1536.0,1425.0,11.15,15.5,53.5,91.2,264,764,20.0,20.0,11
Age of Conan: Rise Of The Godslayer,36.0,77.5,2.0,2.865,45.0,256.0,840.0,9.5,2.0,4.5,42.55,132,132,3.5,3.5,9
Silent Enemy,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,2.0,2.0,9
Xuan-Yuan Sword VII,50.0,27.0,6.0,3.55,14.0,1024.0,1751.5,12.05,28.5,71.0,56.1,1064,1064,50.0,50.0,11
Rocksmith - The Offspring 3-Song Pack,67.0,77.5,2.0,2.88,65.0,256.0,700.0,10.0,3.5,7.5,22.4,132,764,1.0,1.0,9
Freddys Back,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Battle Battalions,67.0,65.0,2.0,2.63,55.0,768.0,1113.0,10.05,12.0,29.5,71.25,232,764,4.0,4.0,10
Democracy 3: Extremism,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Iron Blood VR,50.0,27.0,6.0,3.55,14.0,4096.0,1501.5,11.6,63.5,137.5,272.2,764,1064,3.0,4.0,11
This is the Zodiac Speaking,70.0,38.5,3.0,2.85,38.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998,1064,1064,7.0,7.0,11
Police Force,66.5,130.0,1.0,2.0,77.5,256.0,375.0,9.0,0.0,0.0,10.0,132,132,5.0,5.0,9
Murdered: Soul Suspect,69.0,45.0,2.0,2.73,38.5,768.0,1000.0,10.05,10.5,32.5,64.0,232,764,20.0,20.0,9
House on the Hill,36.0,27.0,4.0,3.55,27.0,1664.0,1018.5,11.05,26.0,44.5,143.75,764,1064,10.0,10.0,11
Agents of Mayhem,33.0,27.0,3.0,2.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,20.0,20.0,11
Doom VFR,0.0,27.0,6.0,3.8,14.0,6144.0,1876.0,12.05,74.5,192.0,240.15,764,1064,17.0,17.0,11
Galactic Ruler,30.5,155.0,1.0,2.8,55.0,768.0,899.0,11.05,3.0,6.0,21.6,864,1064,2.0,2.0,11
Decay of Logos,36.5,27.0,6.0,3.4000000000000004,18.0,2048.0,1351.0,11.1,26.5,69.0,148.89999999999998,1064,1064,3.0,3.0,11
Awesomenauts: Overdrive Expansion,66.5,87.5,1.5,2.1,77.5,256.0,200.0,10.1,2.5,2.5,3.2,132,132,1.5,1.5,9
Nickelodeon All-Star Brawl,0.0,27.0,5.0,3.35,14.0,2048.0,1576.5,12.05,34.5,68.5,145.7,764,764,15.0,15.0,11
Valhall: Harbinger,0.0,14.0,4.0,3.75,14.0,4096.0,1751.5,12.0,53.5,152.5,224.2,1064,1064,20.0,20.0,11
Rise of the Triad,70.5,65.0,2.0,2.4,65.0,512.0,1013.0,10.05,11.0,23.0,64.85,132,764,5.0,5.0,9
Scarlet Nexus,36.5,27.0,6.0,3.55,17.0,2560.0,1438.5,11.1,31.5,108.5,228.15,1064,1064,50.0,50.0,11
Assassins Creed: Valhalla - Wrath of the Druids,36.5,18.0,4.0,3.4000000000000004,18.0,2048.0,1564.0,12.05,34.5,92.0,144.1,1064,1064,50.0,50.0,12
Warp,66.5,110.0,1.0,2.15,65.0,192.0,712.5,9.55,1.5,1.5,15.2,132,132,1.5,1.5,9
Darksiders Warmastered Edition,0.0,77.5,2.0,2.465,48.5,512.0,850.0,10.05,11.0,29.0,54.400000000000006,164,764,13.0,13.0,9
Alien: Isolation,66.5,45.0,2.5,3.1,45.0,1024.0,950.0,11.0,3.5,10.0,46.4,732,764,35.0,35.0,11
Real Horror Stories,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Xenonauts,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,5.0,5.0,9
Johnny Horror,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
Just Cause 5,36.5,32.0,5.0,3.3,18.0,2048.0,1451.0,11.15,31.5,86.5,185.75,764,1064,60.0,60.0,11
Fallout 4 - Contraptions Workshop,36.5,38.5,4.0,4.15,11.0,1536.0,1112.5,11.05,27.0,54.5,126.0,764,764,30.0,30.0,11
Bliss Maze,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.55,1.5,5.5,14.4,732,764,10.0,10.0,11
London Faversham High Speed,36.0,55.0,2.0,3.165,45.0,768.0,750.0,10.5,6.5,9.5,35.2,132,732,6.0,6.0,9
